UK Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1983    2.7   -1.4    2.6    1.7    5.4    8.6   12.1   11.2    8.9    6.0    4.0    2.3    0.66   3.24  10.64   6.27    5.38
1984   -0.5    0.5    1.1    2.3    4.4    8.8   10.2   11.1    8.8    6.4    4.4    1.9    0.75   2.59  10.03   6.53    4.95
1985   -2.4   -0.9    0.4    3.5    5.6    7.3   10.7    9.8    9.1    6.7    0.1    2.6   -0.46   3.17   9.29   5.30    4.41
1986   -0.1   -3.6    0.8    1.3    6.1    8.7   10.4    8.6    6.0    6.3    3.6    2.0   -0.23   2.74   9.22   5.30    4.23
1987   -1.8   -0.2    0.2    4.6    4.9    7.7   10.7   10.3    8.4    5.0    3.4    2.4    0.01   3.19   9.57   5.61    4.65
1988    1.6    1.1    2.0    3.3    6.1    9.1   10.2   10.0    8.7    6.3    1.6    4.2    1.71   3.82   9.79   5.52    5.37
1989    3.1    1.7    2.4    1.9    6.5    8.0   11.4   10.5    9.0    7.3    2.8    1.0    3.03   3.62   9.99   6.37    5.49
1990    2.8    3.1    3.8    2.5    6.2    8.6   10.3   11.7    7.7    7.6    3.2    1.1    2.26   4.20  10.23   6.19    5.75
1991   -0.1   -1.7    3.3    3.3    6.0    7.2   11.9   11.2    8.5    6.1    2.9    1.5   -0.19   4.20  10.14   5.82    5.05
1992    0.7    1.7    3.2    3.9    7.1    9.6   10.8   10.1    8.5    3.4    3.0    0.5    1.26   4.72  10.17   4.97    5.21
1993    1.8    2.3    2.1    4.7    5.9    9.2   10.0    9.0    7.6    4.1    1.3    1.3    1.48   4.23   9.39   4.33    4.94
1994    1.3   -0.3    2.9    3.2    5.3    8.7   11.2   10.4    8.0    5.6    6.4    2.5    0.78   3.79  10.11   6.64    5.45
1995    0.5    2.1    0.7    3.7    5.7    8.4   11.8   11.8    8.6    8.2    3.9   -0.8    1.69   3.33  10.70   6.96    5.41
1996    2.2   -1.0    1.1    3.6    3.8    8.1   10.2   10.9    8.6    7.1    1.6    0.0    0.15   2.81   9.71   5.79    4.70
1997   -0.5    2.2    3.6    3.7    5.6    8.9   10.8   12.7    8.7    5.6    5.1    2.6    0.51   4.29  10.82   6.46    5.77
