UK Sunshine (Total hours)
Areal series, starting from 1929
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1988   45.5   87.0   88.6  128.1  189.9  169.8  129.8  150.9  124.1   87.0   74.1   32.2   161.0  406.6  450.6  285.2  1307.0
1989   50.6   81.7  100.3  130.5  241.7  210.4  243.5  189.4  116.3   78.9   73.4   27.2   164.5  472.6  643.3  268.6  1544.0
1990   45.1   66.4  112.4  185.7  223.4  121.0  238.7  173.9  127.1   84.2   56.4   36.8   138.7  521.4  533.5  267.7  1470.9
1991   57.4   58.8   80.1  146.4  145.6  132.5  166.6  183.3  159.8   74.2   47.0   33.9   153.0  372.1  482.4  280.9  1285.5
1992   45.2   59.1   69.8  110.1  233.4  192.8  142.2  150.6  102.4   84.0   49.7   34.9   138.2  413.2  485.5  236.1  1273.9
1993   31.8   41.9  104.7  111.4  159.7  160.2  144.5  160.5  102.4   96.2   53.5   35.2   108.7  375.9  465.2  252.1  1202.2
1994   50.1   58.6  103.5  152.3  167.6  180.5  190.9  153.1  108.2  100.4   40.6   43.3   144.0  423.4  524.5  249.1  1349.1
1995   42.4   66.2  131.1  155.1  190.3  204.6  206.9  250.4  119.8  103.9   57.0   38.6   151.9  476.4  661.9  280.7  1566.2
1996   20.5   82.1   62.4  119.6  176.1  218.7  190.7  163.5  137.8   91.2   73.9   41.8   141.2  358.1  572.8  303.0  1378.2
1997   40.5   62.5  113.0  139.7  210.2  137.0  193.8  179.1  146.0  113.9   40.1   34.0   144.7  462.9  509.8  299.9  1409.6
1998   43.5   69.3   71.2  126.1  186.0  139.3  133.3  172.8  114.2   97.1   64.4   33.2   146.8  383.3  445.5  275.7  1250.5
1999   48.8   74.7  105.6  145.7  157.5  166.9  206.5  149.4  134.2  102.1   59.9   46.9   156.7  408.9  522.8  296.2  1398.3
2000   56.1   80.6  103.2  133.6  208.0  155.2  153.4  171.6  108.1   86.9   53.6   38.9   183.6  444.8  480.3  248.6  1349.3
2001   66.9   83.4  100.7  135.3  220.0  168.6  160.1  160.3  108.2   88.7   55.3   64.3   189.2  456.0  489.0  252.1  1411.8
2002   37.0   68.0  110.2  171.3  173.0  150.1  140.2  148.7  138.5   86.2   49.5   30.9   169.3  454.6  439.0  274.2  1303.6
2003   59.8   93.3  157.7  181.7  170.9  191.5  158.1  198.0  145.7  120.6   64.5   44.9   184.0  510.4  547.6  330.8  1586.8
2004   42.6   86.9  109.6  124.3  196.7  168.9  153.1  162.9  141.4   83.8   45.5   45.3   174.4  430.5  484.9  270.7  1360.9
2005   47.7   69.2   81.9  147.4  204.8  169.1  163.8  184.1  132.0   73.3   78.5   47.1   162.2  434.1  517.0  283.8  1398.9
2006   45.0   67.9   89.0  164.1  179.5  210.4  253.3  137.8  140.1   86.6   78.6   43.2   160.0  432.5  601.5  305.3  1495.6
2007   51.8   67.3  142.8  203.5  175.1  142.3  160.7  170.0  130.0  101.8   58.8   46.3   162.4  521.3  473.0  290.6  1450.4
2008   39.8  102.8  116.6  155.3  201.7  179.8  166.6  105.0  103.0  110.3   54.0   54.0   188.8  473.6  451.4  267.2  1388.8
2009   51.9   52.0  137.9  160.3  211.3  204.6  168.9  155.6  129.2   84.5   60.4   50.8   157.9  509.5  529.1  274.1  1467.4
2010   54.3   62.3  116.7  182.9  200.3  209.6  138.3  146.8  125.9  106.4   65.0   47.5   167.5  499.8  494.8  297.3  1456.0
2011   49.9   51.6  121.6  202.8  191.6  175.4  170.0  127.4  127.3   90.4   59.4   38.7   149.0  516.1  472.8  277.1  1406.2
2012   58.3   62.6  150.6  127.9  199.3  114.1  137.0  151.6  139.4   91.1   62.3   46.3   159.6  477.8  402.7  292.7  1340.5
2013   36.4   75.3   81.4  167.3  177.4  171.2  248.7  157.9  114.6   78.0   71.1   42.0   158.0  426.0  577.7  263.7  1421.1
2014   42.8   75.0  126.7  144.9  149.6  178.4  223.0  171.0  123.3   82.8   51.9   57.1   159.9  421.1  572.5  258.1  1426.6
2015   58.5   76.0  121.9  212.9  174.4  189.7  160.6  148.8  157.8   91.2   35.6   29.2   191.6  509.3  499.2  284.5  1456.7
2016   37.1   84.9  117.3  160.8  209.6  136.5  156.4  181.7  119.9  105.3   74.7   40.7   151.2  487.7  474.7  299.9  1424.9
2017   56.5   55.1  122.7  162.0  212.9  162.2  171.5  159.9  109.9   73.6   69.2   47.0   152.3  497.6  493.6  252.7  1402.6
